MCode,Cohort,AcademicYearStart,Women3,Men3,Cap,institution,Students3
SWE4633,1,2020,6,33,,Kennesaw_USA,39
CYBR4833,1,2021,9,39,,Kennesaw_USA,48
SWE4743,1,2020,3,18,,Kennesaw_USA,21
IT4203,1,2021,6,24,,Kennesaw_USA,30
CSE3203,1,2020,6,30,,Kennesaw_USA,36
CS4712,1,2020,18,90,,Kennesaw_USA,108
CYBR4333,1,2021,9,51,,Kennesaw_USA,60
CYBR4893,1,2021,9,45,,Kennesaw_USA,54
IT4333,1,2021,12,63,,Kennesaw_USA,75
CS4612,1,2022,6,27,,Kennesaw_USA,33
IT4403,1,2021,3,15,,Kennesaw_USA,18
CS3626,1,2022,27,150,,Kennesaw_USA,177
CGDD4113,1,2021,6,33,,Kennesaw_USA,39
CS4412,1,2021,12,72,,Kennesaw_USA,84
CS3626,1,2020,6,39,,Kennesaw_USA,45
CS4412,1,2022,6,39,,Kennesaw_USA,45
IT4833,1,2021,9,57,,Kennesaw_USA,66
CGDD4603,1,2020,3,18,,Kennesaw_USA,21
CS4524,1,2022,3,18,,Kennesaw_USA,21
CS4712,1,2022,6,33,,Kennesaw_USA,39
CYBR3153,1,2022,9,57,,Kennesaw_USA,66
CS4732,1,2021,3,24,,Kennesaw_USA,27
CS3642,1,2022,27,168,,Kennesaw_USA,195
CS3642,1,2021,30,189,,Kennesaw_USA,219
CS4524,1,2020,3,18,,Kennesaw_USA,21
CYBR4333,1,2020,3,18,,Kennesaw_USA,21
CS4412,1,2020,6,45,,Kennesaw_USA,51
CGDD2012L,1,2021,15,99,,Kennesaw_USA,114
IT4213,1,2020,3,21,,Kennesaw_USA,24
CS3642,1,2020,24,168,,Kennesaw_USA,192
CS4267,1,2021,6,48,,Kennesaw_USA,54
CGDD2012L,1,2020,12,87,,Kennesaw_USA,99
IT4883,1,2021,9,72,,Kennesaw_USA,81
IT4673,1,2020,3,30,,Kennesaw_USA,33
CYBR4833,1,2020,3,21,,Kennesaw_USA,24
IT4333,1,2020,6,45,,Kennesaw_USA,51
CS4712,1,2021,3,30,,Kennesaw_USA,33
IT4333,1,2022,3,33,,Kennesaw_USA,36
CS4265,1,2021,3,36,,Kennesaw_USA,39
CS4322,1,2022,6,45,,Kennesaw_USA,51
SWE4633,1,2022,3,27,,Kennesaw_USA,30
IT4153,1,2020,6,48,,Kennesaw_USA,54
CS4267,1,2020,3,30,,Kennesaw_USA,33
CS4267,1,2022,3,45,,Kennesaw_USA,48
CS4277,1,2021,0,6,,Kennesaw_USA,6
CS4277,1,2022,0,27,,Kennesaw_USA,27
CS4522,1,2020,0,3,,Kennesaw_USA,3
CS4522,1,2021,0,9,,Kennesaw_USA,9
CS4522,1,2022,0,18,,Kennesaw_USA,18
CS4622,1,2021,0,6,,Kennesaw_USA,6
CS4732,1,2022,0,33,,Kennesaw_USA,33
CS4742,1,2021,0,6,,Kennesaw_USA,6
CS4742,1,2022,0,18,,Kennesaw_USA,18
CYBR3220,1,2021,0,3,,Kennesaw_USA,3
CYBR3220,1,2022,0,3,,Kennesaw_USA,3
CYBR4700,1,2020,0,3,,Kennesaw_USA,3
CYBR4883,1,2020,0,12,,Kennesaw_USA,12
CYBR4883,1,2021,0,15,,Kennesaw_USA,15
IT4403,1,2020,0,12,,Kennesaw_USA,12
SWE3683,1,2020,0,9,,Kennesaw_USA,9
SWE4803,1,2021,0,3,,Kennesaw_USA,3
5.574,1,2020,9,123,,UOC_Spain,132
5.574,1,2021,12,120,,UOC_Spain,132
5.574,1,2022,9,144,,UOC_Spain,153
5.576,1,2020,9,81,,UOC_Spain,90
5.576,1,2021,12,111,,UOC_Spain,123
5.576,1,2022,15,117,,UOC_Spain,132
5.577,1,2020,3,42,,UOC_Spain,45
5.577,1,2021,3,51,,UOC_Spain,54
5.577,1,2022,6,51,,UOC_Spain,57
5.578,1,2020,3,30,,UOC_Spain,33
5.578,1,2021,3,42,,UOC_Spain,45
5.578,1,2022,9,45,,UOC_Spain,54
5.579,1,2020,3,90,,UOC_Spain,93
5.579,1,2021,12,111,,UOC_Spain,123
5.579,1,2022,15,96,,UOC_Spain,111
5.58,1,2020,6,72,,UOC_Spain,78
5.58,1,2021,9,87,,UOC_Spain,96
5.58,1,2022,12,99,,UOC_Spain,111
5.581,1,2020,18,90,,UOC_Spain,108
5.581,1,2021,21,126,,UOC_Spain,147
5.581,1,2022,12,129,,UOC_Spain,141
5.583,1,2020,12,102,,UOC_Spain,114
5.583,1,2021,18,126,,UOC_Spain,144
5.583,1,2022,15,132,,UOC_Spain,147
5.584,1,2020,24,198,,UOC_Spain,222
5.584,1,2021,21,210,,UOC_Spain,231
5.584,1,2022,18,225,,UOC_Spain,243
5.586,1,2020,24,156,,UOC_Spain,180
5.586,1,2021,24,216,,UOC_Spain,240
5.586,1,2022,30,228,,UOC_Spain,258
5.587,1,2020,15,108,,UOC_Spain,123
5.587,1,2021,18,144,,UOC_Spain,162
5.587,1,2022,18,165,,UOC_Spain,183
5.588,1,2020,9,54,,UOC_Spain,63
5.588,1,2021,15,90,,UOC_Spain,105
5.588,1,2022,9,96,,UOC_Spain,105
5.591,1,2020,6,66,,UOC_Spain,72
5.591,1,2021,6,66,,UOC_Spain,72
5.591,1,2022,6,66,,UOC_Spain,72
5.592,1,2020,3,30,,UOC_Spain,33
5.592,1,2021,3,33,,UOC_Spain,36
5.592,1,2022,6,36,,UOC_Spain,42
