,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
"popularity_module_non_topic_women[1, 52]",-21.825,71.467,-180.751,95.258,24.29,17.79,9.0,27.0,1.42
"popularity_module_non_topic_women[1, 53]",12.323,160.116,-300.539,255.9,71.829,54.112,5.0,13.0,2.2
"popularity_module_non_topic_women[2, 0]",182.409,94.5,13.53,371.307,38.332,29.254,6.0,12.0,1.72
"popularity_module_non_topic_women[2, 1]",-28.565,131.714,-314.929,160.221,59.325,44.717,5.0,13.0,2.1
"popularity_module_non_topic_women[2, 2]",160.484,100.427,-25.012,326.585,40.72,30.3,6.0,17.0,1.78
"popularity_module_non_topic_women[2, 3]",-77.613,63.841,-174.79,19.081,21.654,15.857,9.0,17.0,1.36
"popularity_module_non_topic_women[2, 4]",-93.418,96.194,-255.666,137.323,41.995,31.522,5.0,12.0,2.12
"popularity_module_non_topic_women[2, 5]",87.082,60.934,-28.979,188.257,23.389,17.589,7.0,23.0,1.62
"popularity_module_non_topic_women[2, 6]",-36.741,69.365,-159.234,90.423,21.42,15.588,11.0,19.0,1.29
"popularity_module_non_topic_women[2, 7]",22.408,50.067,-55.082,127.613,15.875,11.572,11.0,36.0,1.28
"popularity_module_non_topic_women[2, 8]",3.178,81.16,-132.333,138.595,21.069,15.201,15.0,42.0,1.22
"popularity_module_non_topic_women[2, 9]",-89.714,87.86,-240.34,64.579,36.653,27.36,6.0,15.0,1.87
"popularity_module_non_topic_women[2, 10]",181.241,146.101,-60.878,454.358,62.684,46.949,6.0,23.0,1.78
"popularity_module_non_topic_women[2, 11]",-62.977,61.063,-163.83,54.08,14.532,11.439,18.0,30.0,1.17
"popularity_module_non_topic_women[2, 12]",34.996,53.302,-75.343,121.778,16.67,12.141,11.0,22.0,1.28
"popularity_module_non_topic_women[2, 13]",-86.049,97.208,-293.009,59.532,39.978,32.296,7.0,16.0,1.62
"popularity_module_non_topic_women[2, 14]",5.906,70.075,-118.955,146.191,26.168,19.313,7.0,27.0,1.54
"popularity_module_non_topic_women[2, 15]",3.838,61.578,-125.14,100.077,19.417,14.149,10.0,30.0,1.37
"popularity_module_non_topic_women[2, 16]",-39.874,70.721,-168.253,95.683,26.617,20.15,7.0,13.0,1.54
"popularity_module_non_topic_women[2, 17]",20.827,119.789,-215.631,219.733,49.356,36.79,6.0,25.0,1.78
"popularity_module_non_topic_women[2, 18]",20.427,96.497,-195.285,174.241,39.125,29.112,8.0,15.0,1.46
"popularity_module_non_topic_women[2, 19]",-27.802,74.85,-140.901,118.811,32.951,24.761,5.0,15.0,2.07
"popularity_module_non_topic_women[2, 20]",-11.612,107.172,-190.296,204.166,46.698,35.044,6.0,13.0,1.92
"popularity_module_non_topic_women[2, 21]",-2.495,109.416,-218.574,206.781,42.958,31.857,8.0,12.0,1.51
"popularity_module_non_topic_women[2, 22]",-48.559,95.648,-229.296,100.119,39.06,29.087,6.0,27.0,1.72
"popularity_module_non_topic_women[2, 23]",-75.931,165.997,-393.823,235.377,76.364,57.733,5.0,12.0,2.27
"popularity_module_non_topic_women[2, 24]",16.99,159.478,-328.329,224.336,73.044,55.188,5.0,17.0,2.14
"popularity_module_non_topic_women[2, 25]",58.295,86.311,-71.157,258.021,34.405,25.554,6.0,27.0,1.71
"popularity_module_non_topic_women[2, 26]",-28.088,77.645,-145.895,113.81,27.637,20.313,8.0,21.0,1.47
"popularity_module_non_topic_women[2, 27]",13.796,77.66,-107.844,168.871,25.063,18.29,10.0,55.0,1.32
"popularity_module_non_topic_women[2, 28]",-15.401,87.246,-183.67,130.998,29.083,21.271,9.0,26.0,1.35
"popularity_module_non_topic_women[2, 29]",-63.825,124.342,-294.671,131.184,49.061,36.401,7.0,23.0,1.64
"popularity_module_non_topic_women[2, 30]",56.272,117.095,-108.051,280.044,51.397,38.607,6.0,25.0,1.78
"popularity_module_non_topic_women[2, 31]",-19.676,161.026,-372.399,247.633,67.422,50.35,6.0,14.0,1.86
"popularity_module_non_topic_women[2, 32]",-17.422,114.377,-208.981,176.843,46.416,34.541,6.0,20.0,1.75
"popularity_module_non_topic_women[2, 33]",-54.756,147.047,-342.414,192.041,65.618,49.397,5.0,15.0,2.17
"popularity_module_non_topic_women[2, 34]",-61.776,138.417,-289.234,131.387,64.635,48.974,5.0,41.0,2.18
"popularity_module_non_topic_women[2, 35]",-55.079,102.493,-222.109,152.72,25.27,18.195,16.0,19.0,1.21
"popularity_module_non_topic_women[2, 36]",8.197,74.39,-106.942,127.568,28.444,21.039,8.0,84.0,1.52
"popularity_module_non_topic_women[2, 37]",82.348,133.576,-121.218,376.842,57.694,43.248,5.0,11.0,2.05
"popularity_module_non_topic_women[2, 38]",-33.809,132.24,-272.266,178.157,59.972,45.248,5.0,13.0,2.3
"popularity_module_non_topic_women[2, 39]",15.618,116.201,-135.854,272.912,51.482,38.718,6.0,13.0,1.87
"popularity_module_non_topic_women[2, 40]",45.405,126.139,-190.137,213.514,54.927,41.216,6.0,13.0,1.85
"popularity_module_non_topic_women[2, 41]",6.007,94.71,-149.183,208.685,36.901,27.344,8.0,16.0,1.59
"popularity_module_non_topic_women[2, 42]",-114.508,128.463,-395.06,70.079,56.934,43.647,7.0,16.0,1.56
"popularity_module_non_topic_women[2, 43]",-50.521,87.684,-231.681,141.871,30.025,22.003,10.0,11.0,1.34
"popularity_module_non_topic_women[2, 44]",24.811,131.026,-228.038,252.704,56.189,42.082,6.0,11.0,1.95
"popularity_module_non_topic_women[2, 45]",-5.607,133.846,-200.539,326.135,61.927,46.858,5.0,12.0,2.55
"popularity_module_non_topic_women[2, 46]",-61.822,146.006,-271.726,203.38,62.963,47.188,6.0,25.0,1.76
"popularity_module_non_topic_women[2, 47]",76.263,131.264,-179.603,332.71,58.251,43.819,6.0,13.0,1.98
"popularity_module_non_topic_women[2, 48]",18.496,131.15,-202.893,248.129,55.657,41.631,6.0,12.0,1.89
"popularity_module_non_topic_women[2, 49]",52.129,70.385,-64.216,181.129,21.046,15.288,12.0,80.0,1.27
"popularity_module_non_topic_women[2, 50]",-78.675,101.62,-231.908,125.595,43.189,32.31,6.0,11.0,1.88
"popularity_module_non_topic_women[2, 51]",-4.218,135.416,-337.193,179.852,63.305,47.974,5.0,13.0,2.67
"popularity_module_non_topic_women[2, 52]",14.352,87.934,-137.934,178.596,34.631,25.69,7.0,24.0,1.64
"popularity_module_non_topic_women[2, 53]",55.659,155.575,-203.464,317.54,73.191,55.519,5.0,14.0,2.62
"popularity_module_non_topic_women[3, 0]",-82.443,66.01,-212.457,33.016,26.068,19.343,7.0,38.0,1.59
"popularity_module_non_topic_women[3, 1]",-266.839,422.578,-883.403,283.681,207.242,158.262,5.0,12.0,3.16
"popularity_module_non_topic_women[3, 2]",229.163,325.488,-31.407,933.315,153.419,116.411,5.0,15.0,2.05
"popularity_module_non_topic_women[3, 3]",-138.015,52.274,-246.556,-50.929,13.055,9.7,17.0,62.0,1.16
"popularity_module_non_topic_women[3, 4]",-62.934,209.049,-452.079,176.182,101.101,77.027,5.0,19.0,2.17
"popularity_module_non_topic_women[3, 5]",70.701,38.806,3.188,140.07,8.882,6.736,20.0,61.0,1.13
"popularity_module_non_topic_women[3, 6]",11.223,33.864,-52.375,72.677,9.743,7.063,12.0,33.0,1.24
