elective,title,Women3_x,Men3_x,Women3_y,Men3_y,Students3_x
Inf-CombWords,Combinatorics on Words,9.0,24.0,39.0,168.0,33.0
Inf-DigSig,Multimedia Signal Processing and Data Compression,3.0,24.0,39.0,168.0,27.0
Inf-GraphDraw,Automatic Graph Drawing,0.0,15.0,39.0,168.0,15.0
Inf-NNDL,Neural networks and deep learning,6.0,111.0,39.0,168.0,117.0
Inf-NumProg,Numerical Programming,0.0,6.0,39.0,168.0,6.0
SWE3683,Embedded Systems Analysis and Design,0.0,9.0,411.0,1569.0,9.0
SWE4633,Cloud Software Development,18.0,93.0,1257.0,4365.0,111.0
SWE4743,Object-Oriented Development,9.0,33.0,819.0,2880.0,42.0
SWE4783,User Interaction Engineering,48.0,147.0,1257.0,4365.0,195.0
SWE4803,Independent Study,0.0,3.0,438.0,1485.0,3.0
WInf-eBeM,E-Business und E-Marketing,6.0,45.0,39.0,168.0,51.0
cxinfr09042,Undergraduate Course: Automated Reasoning (INFR09042),21.0,51.0,276.0,828.0,72.0
cxinfr10052,Undergraduate Course: Algorithms and Data Structures (INFR10052),21.0,99.0,411.0,1272.0,120.0
cxinfr10054,Undergraduate Course: Computational Cognitive Science (INFR10054),27.0,33.0,285.0,873.0,60.0
cxinfr10057,Undergraduate Course: Software Testing (INFR10057),105.0,258.0,411.0,1272.0,363.0
cxinfr10059,Undergraduate Course: Introduction to Theoretical Computer Science (INFR10059),15.0,33.0,285.0,873.0,48.0
cxinfr10061,Undergraduate Course: Elements of Programming Languages (INFR10061),3.0,21.0,135.0,444.0,24.0
cxinfr10064,Undergraduate Course: Software Design and Modelling (INFR10064),45.0,111.0,285.0,873.0,156.0
cxinfr10065,Undergraduate Course: Compiling Techniques (INFR10065),30.0,168.0,285.0,873.0,198.0
cxinfr10069,Undergraduate Course: Introductory Applied Machine Learning (INFR10069),108.0,306.0,276.0,828.0,414.0
cxinfr10074,Undergraduate Course: Computer Communications and Networks (INFR10074),114.0,387.0,411.0,1272.0,501.0
cxinfr10076,Undergraduate Course: Computer Architecture and Design (INFR10076),12.0,63.0,285.0,873.0,75.0
cxinfr10077,Undergraduate Course: Computing in the Classroom (INFR10077),24.0,57.0,411.0,1272.0,81.0
cxinfr10078,Undergraduate Course: Foundations of Natural Language Processing (INFR10078),84.0,180.0,285.0,873.0,264.0
cxinfr10079,Undergraduate Course: Operating Systems (INFR10079),81.0,264.0,411.0,1272.0,345.0
cxinfr10080,Undergraduate Course: Introduction to Databases (INFR10080),111.0,264.0,411.0,1272.0,375.0
cxinfr10085,Undergraduate Course: Introduction to Mobile Robotics (INFR10085),12.0,60.0,135.0,444.0,72.0
cxinfr10086,Undergraduate Course: Machine Learning (INFR10086),30.0,93.0,135.0,444.0,123.0
cxinfr10087,Undergraduate Course: Automated Reasoning (INFR10087),0.0,9.0,135.0,444.0,9.0
cxinfr11017,Postgraduate Course: Human-Computer Interaction (Level 11) (INFR11017),63.0,132.0,411.0,1272.0,195.0
cxinfr11020,Postgraduate Course: Algorithmic Game Theory and its Applications (INFR11020),18.0,90.0,276.0,828.0,108.0
cxinfr11021,Postgraduate Course: Computer Graphics (Level 11) (INFR11021),9.0,33.0,150.0,429.0,42.0
cxinfr11023,Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),3.0,18.0,150.0,429.0,21.0
cxinfr11033,Postgraduate Course: Automatic Speech Recognition (INFR11033),9.0,24.0,276.0,828.0,33.0
cxinfr11088,Postgraduate Course: Extreme Computing (INFR11088),21.0,69.0,285.0,873.0,90.0
cxinfr11092,Postgraduate Course: Robotics: Science and Systems (INFR11092),3.0,9.0,276.0,828.0,12.0
cxinfr11098,Postgraduate Course: Secure Programming (INFR11098),12.0,30.0,285.0,873.0,42.0
cxinfr11099,Postgraduate Course: Introduction to Quantum Computing (INFR11099),6.0,48.0,276.0,828.0,54.0
cxinfr11114,Undergraduate Course: Types and Semantics for Programming Languages (INFR11114),3.0,24.0,135.0,444.0,27.0
cxinfr11130,Undergraduate Course: Machine Learning and Pattern Recognition (INFR11130),36.0,138.0,411.0,1272.0,174.0
cxinfr11131,Undergraduate Course: Introduction to Modern Cryptography (INFR11131),9.0,33.0,276.0,828.0,42.0
cxinfr11132,Undergraduate Course: Machine Learning Practical (INFR11132),30.0,132.0,276.0,828.0,162.0
cxinfr11134,Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134),3.0,3.0,150.0,429.0,6.0
cxinfr11144,Undergraduate Course: Blockchains and Distributed Ledgers (INFR11144),15.0,105.0,276.0,828.0,120.0
cxinfr11145,Undergraduate Course: Text Technologies for Data Science (INFR11145),33.0,126.0,276.0,828.0,159.0
cxinfr11150,Undergraduate Course: Principles and Design of IoT Systems (INFR11150),12.0,39.0,276.0,828.0,51.0
cxinfr11157,"Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)",15.0,45.0,276.0,828.0,60.0
cxinfr11160,Undergraduate Course: Bioinformatics 1 (INFR11160),48.0,114.0,411.0,1272.0,162.0
cxinfr11161,Undergraduate Course: Natural Computing (INFR11161),18.0,90.0,411.0,1272.0,108.0
cxinfr11187,Undergraduate Course: Quantum Cyber Security (INFR11187),0.0,6.0,150.0,429.0,6.0
cxinfr11199,Undergraduate Course: Advanced Database Systems (INFR11199),24.0,72.0,276.0,828.0,96.0
cxinfr11201,Undergraduate Course: Randomized Algorithms (INFR11201),0.0,3.0,135.0,444.0,3.0
cxinfr11202,Undergraduate Course: Machine Learning Theory (INFR11202),3.0,18.0,150.0,429.0,21.0
cxinfr11208,Undergraduate Course: Security Engineering (INFR11208),12.0,18.0,150.0,429.0,30.0
cxinfr11209,Undergraduate Course: Computational Neuroscience (INFR11209),3.0,12.0,135.0,444.0,15.0
cxinfr11213,Postgraduate Course: Advanced Robotics (INFR11213),3.0,15.0,135.0,444.0,18.0
cxinfr11217,Undergraduate Course: Advanced Database Systems (UG) (INFR11217),9.0,30.0,135.0,444.0,39.0
cxinfr11218,Undergraduate Course: Algorithmic Game Theory and its Applications (UG) (INFR11218),6.0,21.0,135.0,444.0,27.0
cxinfr11219,Postgraduate Course: Automatic Speech Recognition (INFR11033),9.0,15.0,135.0,444.0,24.0
cxinfr11220,Postgraduate Course: Computer Graphics (Level 11) (INFR11021),12.0,57.0,135.0,444.0,69.0
cxinfr11221,Undergraduate Course: Introduction to Modern Cryptography (INFR11131),6.0,9.0,135.0,444.0,15.0
cxinfr11222,Postgraduate Course: Introduction to Quantum Computing (INFR11099),3.0,12.0,135.0,444.0,15.0
cxinfr11223,Undergraduate Course: Machine Learning Practical (INFR11132),18.0,66.0,135.0,444.0,84.0
cxinfr11224,Undergraduate Course: Machine Learning Theory (INFR11202),9.0,15.0,135.0,444.0,24.0
cxinfr11225,"Undergraduate Course: Natural Language Understanding, Generation, and Machine Translation (INFR11157)",9.0,21.0,135.0,444.0,30.0
cxinfr11226,Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),3.0,15.0,135.0,444.0,18.0
cxinfr11227,Undergraduate Course: Quantum Cyber Security (INFR11187),3.0,6.0,135.0,444.0,9.0
cxinfr11228,Undergraduate Course: Security Engineering (INFR11208),15.0,30.0,135.0,444.0,45.0
cxinfr11229,Undergraduate Course: Text Technologies for Data Science (INFR11145),6.0,42.0,135.0,444.0,48.0
cxinfr11235,Postgraduate Course: Probabilistic Modelling and Reasoning (INFR11134),3.0,9.0,135.0,444.0,12.0
cxinfr11238,Undergraduate Course: Blockchains and Distributed Ledgers (INFR11144),18.0,75.0,135.0,444.0,93.0
cxinfr11239,Undergraduate Course: Principles and Design of IoT Systems (INFR11150),12.0,45.0,135.0,444.0,57.0
inf-AuLearn,Autonomous Learning,6.0,24.0,39.0,168.0,30.0
inf-CI,Computational Intelligence,9.0,33.0,39.0,168.0,42.0
inf-EAeS,Methods for Efficient Similarity Search in Large Data Sets,9.0,30.0,39.0,168.0,39.0
inf-EERP,Implementation of ERP systems,15.0,51.0,39.0,168.0,66.0
inf-EnlOpt,Introduction to Nonlinear Optimization,3.0,24.0,39.0,168.0,27.0
inf-IoT,Internet of Things and Wireless Networks,6.0,48.0,39.0,168.0,54.0
inf-TM,Text Mining,9.0,33.0,39.0,168.0,42.0
